timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709043139804,156,GET Single User,200,OK,Workload Config 1-23,text,true,,1186,148,1,1,https://reqres.in/api/users/2,156,0,93
1709043139961,400,Post Request,201,Created,Workload Config 1-23,text,true,,904,278,2,2,https://reqres.in/api/users,400,0,0
1709043140304,165,GET Single User,200,OK,Workload Config 1-24,text,true,,1182,148,1,1,https://reqres.in/api/users/2,164,0,96
1709043140469,417,Post Request,201,Created,Workload Config 1-24,text,true,,901,278,2,2,https://reqres.in/api/users,417,0,0
1709043140803,176,GET Single User,200,OK,Workload Config 1-25,text,true,,1186,148,1,1,https://reqres.in/api/users/2,176,0,112
1709043140980,421,Post Request,201,Created,Workload Config 1-25,text,true,,901,278,2,2,https://reqres.in/api/users,421,0,0
1709043141304,316,GET Single User,200,OK,Workload Config 1-26,text,true,,1186,148,1,1,https://reqres.in/api/users/2,315,0,259
1709043141804,169,GET Single User,200,OK,Workload Config 1-27,text,true,,1186,148,2,2,https://reqres.in/api/users/2,169,0,102
1709043141621,422,Post Request,201,Created,Workload Config 1-26,text,true,,901,278,2,2,https://reqres.in/api/users,422,0,0
1709043141974,420,Post Request,201,Created,Workload Config 1-27,text,true,,901,278,2,2,https://reqres.in/api/users,420,0,0
1709043142306,160,GET Single User,200,OK,Workload Config 1-28,text,true,,1186,148,1,1,https://reqres.in/api/users/2,160,0,96
1709043142467,409,Post Request,201,Created,Workload Config 1-28,text,true,,905,278,2,2,https://reqres.in/api/users,408,0,0
1709043142814,170,GET Single User,200,OK,Workload Config 1-29,text,true,,1186,148,1,1,https://reqres.in/api/users/2,170,0,112
1709043142986,416,Post Request,201,Created,Workload Config 1-29,text,true,,905,278,2,2,https://reqres.in/api/users,416,0,0
1709043143304,157,GET Single User,200,OK,Workload Config 1-30,text,true,,1182,148,1,1,https://reqres.in/api/users/2,157,0,104
1709043143462,417,Post Request,201,Created,Workload Config 1-30,text,true,,901,278,2,2,https://reqres.in/api/users,417,0,0
1709043143803,156,GET Single User,200,OK,Workload Config 1-31,text,true,,1186,148,1,1,https://reqres.in/api/users/2,156,0,100
